species,date,year,km1grid,km2grid,km5grid,km10grid,tp5,tp10
Vespula vulgaris,1913-05-20,1913,TQ7955,TQ75X,TQ75NE,TQ75,1910-1914,1910-1919
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespa crabro,2006-07-22,2006,TQ7359,TQ75J,TQ75NW,TQ75,2005-2009,2000-2009
Vespa crabro,2006-10-14,2006,TQ7359,TQ75J,TQ75NW,TQ75,2005-2009,2000-2009
Vespula vulgaris,1973-01-28,1973,TQ7754,TQ75S,TQ75SE,TQ75,1970-1974,1970-1979
Vespula germanica,2002-10-16,2002,TQ7359,TQ75J,TQ75NW,TQ75,2000-2004,2000-2009
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespa crabro,2006-10-14,2006,TQ7359,TQ75J,TQ75NW,TQ75,2005-2009,2000-2009
Vespula germanica,1979-09-23,1979,TQ7359,TQ75J,TQ75NW,TQ75,1975-1979,1970-1979
Vespa crabro,2011-08-17,2011,TQ9834,TQ93X,TQ93SE,TQ93,2010-2014,2010-2019
Vespula germanica,1911-09-20,1911,TR2865,TR26X,TR26NE,TR26,1910-1914,1910-1919
